,id,title,channelID,views,likes,dislikes,duration_secs,dateUploaded,dateFound,discoveryTime_days
0,In9xziHA5MM,Broods - Eyes A Mess (Official Audio),UCKWz5oeK_qpoximCX9GxZMg,54089,2509,35,242,2018-08-29 11:03:03,2018-09-01 21:00:40,3
1,ATmNdOC00qc,Gamper & Dadoni - Here To Love You,UCd3TI79UTgYvVEq5lTnJ4uQ,479389,3887,83,207,2018-09-01 17:03:05,2018-09-02 06:48:42,0
2,MxKCEr8d5J4,Nevada & Loote - Don't Call Me (Official Audio),UCV7zf0vdDQ9fXRnDo3G0BDQ,347821,8887,82,214,2018-08-31 15:05:33,2018-09-02 06:55:17,1
3,xsJLachhs-o,Rudimental & Major Lazer - Let Me Live (feat. Anne-Marie & Mr Eazi) [Two Can Remix],UCY7sBX18GXc2O_9UvI4GeXQ,26301,726,35,173,2018-08-24 10:13:42,2018-09-02 06:56:59,8
4,_D1rrdFcj1U,Matoma & Enrique Iglesias – I Don't Dance (Without You) [feat. Konshens] [Official Lyric Video],UCdjoz9EURsObi2ov6BD1m-g,11055786,74466,2306,181,2018-07-27 10:00:08,2018-09-02 16:59:56,37
5,Uh-lxL34DZo,Lost Kings - Stuck (Official Video) ft. Tove Styrke,UCAcoxxq7UblT2Ixsj98PLKA,808192,9591,227,211,2018-08-06 04:00:00,2018-09-03 01:19:41,27
6,0rH3oPVvsoM,Hoodboi - Glide (ft. Tkay Maidza),UCUVjT8oRvE9jI6-HKn2cuKQ,48953,1319,17,234,2018-06-04 19:56:20,2018-09-03 06:16:49,90
7,yRrstcJKEis,Lemon - Your Friends (Dimond Saints Remix),UCQh6YUar6ivimBIxfFOSAVQ,9453,108,3,215,2016-02-22 19:53:13,2018-09-03 18:15:13,923
8,k9DVIEgiP6o,Dimond Saints - Innocence (ft. Yaarrohs),UCvoF46dDgod0SQznL50eJxQ,10351,109,6,266,2017-01-18 21:37:50,2018-09-03 18:16:39,592
9,pcNuIQapEu8,Ayelle - Talk,UCE5PGnLwbvfyz4SV9x9zEwA,87088,2560,34,228,2018-09-03 18:00:04,2018-09-03 18:21:24,0
10,4MlQw_YcKfA,Alex Aiono - Big Mistake (Lyrics),UCj4mJaB6K3a6eCw1xIQ2jsA,177665,4612,53,186,2018-08-26 16:09:54,2018-09-04 14:52:54,8
11,H15umhRDY8E,Anna Clendening - Boys Like You (Lyrics),UCj4mJaB6K3a6eCw1xIQ2jsA,2139042,30488,364,190,2018-06-05 15:00:03,2018-09-04 15:02:32,91
12,je3cp9yKQsE,ILIRA - Whisper My Name (Lyrics),UCj4mJaB6K3a6eCw1xIQ2jsA,99886,2863,41,201,2018-08-29 16:51:46,2018-09-04 15:04:21,5
13,SoVhSpTTXhg,Clara Mae - Rooftop (Lyrics),UCj4mJaB6K3a6eCw1xIQ2jsA,138515,3105,33,194,2018-08-27 16:25:59,2018-09-04 16:31:56,8
14,POUQMrtra7E,Emily Vaughn - Say The Word (Lyrics) ft. Lostboycrow,UCj4mJaB6K3a6eCw1xIQ2jsA,113465,3435,28,203,2018-09-04 17:00:28,2018-09-04 17:06:56,0
15,hFWJHwlBh8s,Justin Jesso - My Body (Lyrics),UCj4mJaB6K3a6eCw1xIQ2jsA,150472,2525,36,197,2018-07-12 17:05:08,2018-09-04 19:17:29,54
16,waRxYw2iGjE,CXLOE - SHOW YOU (Lyrics),UCj4mJaB6K3a6eCw1xIQ2jsA,69141,1276,21,192,2018-08-06 16:47:21,2018-09-05 15:48:04,29
17,4ArAoRvYj1w,Matt Maeson - Tribulation (feat. VÉRITÉ),UCZZdYmEOGeGlEmsnLRrWkSg,60319,2982,20,195,2018-08-24 04:00:00,2018-09-05 16:40:24,12
18,ffDfQSKmmlU,Bahari - Chasers (Lyrics),UCj4mJaB6K3a6eCw1xIQ2jsA,47418,1288,19,181,2018-07-16 16:45:06,2018-09-05 19:25:36,51
19,UOb172nPB2E,Clara Mae - I'm Not Her (Lyrics / Lyrics Video),UCj4mJaB6K3a6eCw1xIQ2jsA,8107455,131116,1419,193,2017-11-10 01:39:42,2018-09-05 19:41:32,299
20,uf_dhNcRrQk,"Cheat Codes, Little Mix - Only You (Lyrics)",UCj4mJaB6K3a6eCw1xIQ2jsA,169197,2713,47,190,2018-06-22 15:21:07,2018-09-05 21:05:35,75
21,KJE8OE4XsMc,Sophia Angeles - Interested (Lyrics),UCj4mJaB6K3a6eCw1xIQ2jsA,76352,1287,27,196,2018-06-02 16:00:02,2018-09-05 21:14:50,95
22,aiuB6hSxt9g,Emily Burns - Girlfriend At The Time (Lyrics / Lyrics Video),UCj4mJaB6K3a6eCw1xIQ2jsA,127000,2374,29,206,2018-03-14 18:05:01,2018-09-05 22:44:25,175
23,Th1bOmqIPpM,The Vamps - Just My Type (Lyrics),UCj4mJaB6K3a6eCw1xIQ2jsA,181469,3136,45,212,2018-06-16 16:45:01,2018-09-06 15:32:22,81
24,7OPXYr4s3iM,Moksi - Stranger (feat. Feliciana),UCMOgdURr7d8pOVlc-alkfRg,588999,11401,201,179,2018-08-15 17:26:48,2018-09-06 21:09:03,22
25,El6O8aiksQ8,"Silk City, Dua Lipa - Electricity (Lyric Video) ft. Diplo, Mark Ronson",UCXKr4vbqJkg4cXmdvaAEjYw,15956,441,16,239,2018-09-06 20:45:00,2018-09-07 01:12:07,0
26,cv28aHDYsVM,GLADES - Eyes Wide Shut (Audio),UCbUUgRH8oYQ3q-wYZxrP-eA,13065,506,4,224,2018-09-07 02:07:34,2018-09-07 02:44:36,0
27,g-Jv45sB8Pc,Two Friends - Bandaid (Bad Color Remix),UCIKF1msqN7lW9gplsifOPkQ,66776,1728,24,188,2018-09-07 15:10:23,2018-09-08 03:08:45,0
28,Mv3haCxR4HA,Frank Walker - Heartbreak Back (Lyrics) feat. Riley Biederer,UCj4mJaB6K3a6eCw1xIQ2jsA,122629,3792,49,217,2018-09-02 17:08:30,2018-09-09 19:18:27,7
29,FLc0ZkoMwRM,MKTO - How Can I Forget (Lyrics),UCj4mJaB6K3a6eCw1xIQ2jsA,220562,6344,71,178,2018-09-09 16:05:13,2018-09-09 19:18:31,0
30,IbPe0g2lp5o,MKTO - How Can I Forget (Official Audio),UCV7zf0vdDQ9fXRnDo3G0BDQ,670703,11017,95,178,2018-09-07 09:45:49,2018-09-09 23:29:22,2
31,y7mwZULsVcQ,Erykah Badu- On & On with Lyrics,UCfeyCB5Th8BATQHctwjSErA,4198854,29007,904,227,2009-06-18 00:41:52,2018-09-10 10:24:31,3371
32,GDSGwp3AAOU,"Emarosa - People Like Me, We Just Don't Play (Lyrics)",UCHhQkzpj1_9LG6e7-wVhiXQ,61134,647,15,207,2015-04-18 12:44:42,2018-09-10 10:25:06,1240
33,FPJbzMeW3oM,Emarosa - A Hundred Crowns,UCxnS0WDBVfBnTP2e97DYDSA,299703,2783,46,220,2014-09-01 17:44:18,2018-09-10 10:34:38,1469
34,mCYwONZYiUc,"Sigala, Ella Eyre, Meghan Trainor - Just Got Paid (Lyric Video) ft. French Montana",UC17CHWNv_gML0yOcsrh_v1g,8211873,66274,2989,219,2018-09-06 23:01:02,2018-09-10 15:03:20,3
35,hDG6k417uoY,"Nick Jonas, Robin Schulz - Right Now",UCsQG1uamy9ydZrF79v16IBg,20232382,143141,4624,203,2018-08-24 04:00:07,2018-09-10 15:11:58,17
36,O82deSRm87Q,SG Lewis - Hurting ft. AlunaGeorge,UC8e0RHkJN-B0lUrh2ikY6yA,220962,5997,115,186,2018-09-04 16:00:01,2018-09-10 15:58:47,5
37,fApsi6_Ao-4,KIDDO - Drunk And I Miss You (ft. Decco),UCM9KEEuzacwVlkt9JfJad7g,589688,9575,210,186,2018-09-09 18:46:13,2018-09-10 21:10:02,1
38,LJLByaqxQG8,James Vickery  - Until Morning(Lyrics/Lyric Video),UC7SWq-LFqmBomR7ka-_GRag,8231,175,2,199,2018-07-05 09:37:32,2018-09-10 23:56:39,67
39,o5w3SkySlPY,Grace - New Orleans (Audio),UCO_OG8nuMD90sMQ8DnhQ9YA,156371,1634,33,221,2016-07-01 07:00:01,2018-09-11 19:28:15,802
40,ufVXvDM8V3k,"Diviners, ENV - One Love (feat. Danny Dearden)",UCd3TI79UTgYvVEq5lTnJ4uQ,449227,1871,98,158,2018-08-31 15:42:12,2018-09-12 01:31:17,11
41,2rwJpSKYo84,Lauren Faith - Just A Little (prod. Kaytranada),UCXIyz409s7bNWVcM-vjfdVA,337747,6957,104,225,2018-08-25 14:52:24,2018-09-12 03:30:14,17
42,h2ymJcCwS_s,Jon Bellion - Guillotine ft. Travis Mendes,UCM8r8bIG7xKRGDEd7oSyxPQ,16238194,209113,4037,222,2016-05-18 17:00:03,2018-09-12 06:53:54,846
43,6eC_i6WS1Hs,Heart To Break - Kim Petras (Official Audio),UChAjsnxIhU-3WZ8aSxE650A,556690,6863,155,227,2018-02-14 05:09:15,2018-09-12 06:55:02,210
44,hecnlXECCdA,Khwezi - Fragile (feat. Laura Greaves),UC5nc_ZtjKW1htCVZVRxlQAQ,303784,9136,295,207,2018-08-07 16:00:04,2018-09-12 08:57:29,35
45,7h-VVKC2fak,Baby You're Bad,UC5FYAw7pRrtyqrHkHwp1nIQ,2701,35,1,229,2017-01-28 12:45:56,2018-09-12 20:49:15,592
46,Ci5y0iEGwjc,MARC & Gabriel Cancela - Amarte Hasta Nuestro Final,UCxH0sQJKG6Aq9-vFIPnDZ2A,47459,803,68,192,2018-09-12 14:15:01,2018-09-13 00:26:33,0
47,qQ0VlDo_y10,Bearcubs - Gradients,UCXIyz409s7bNWVcM-vjfdVA,678835,2652,279,251,2013-12-03 20:32:35,2018-09-13 01:53:04,1744
48,1ppFee1Y3W0,She Said,UC0NVbpm4C2QuGDDFtElGb8A,17004,371,9,180,2017-07-20 11:20:40,2018-09-13 05:57:26,419
